Category;Open;High;Low;Close;o-1;h-1;l-1;c-1;o-2;h-2;l-2;c-2
HIGH_RAISE;9 893;10 906;9 882;10 862;9 729;10 128;9 670;9 893;9 629;9 742;9 538;9 734
LOW_RAISE;9 729;10 128;9 670;9 893;9 629;9 742;9 538;9 734;9 594;9 634;9 482;9 629
LOW_RAISE;9 629;9 742;9 538;9 734;9 594;9 634;9 482;9 629;9 380;9 674;9 376;9 594
NEUTRAL;9 594;9 634;9 482;9 629;9 380;9 674;9 376;9 594;9 382;9 402;9 305;9 380
LOW_RAISE;9 380;9 674;9 376;9 594;9 382;9 402;9 305;9 380;9 178;9 440;9 155;9 382
NEUTRAL;9 382;9 402;9 305;9 380;9 178;9 440;9 155;9 382;9 176;9 225;9 149;9 178
LOW_RAISE;9 178;9 440;9 155;9 382;9 176;9 225;9 149;9 178;9 185;9 192;9 119;9 176
NEUTRAL;9 176;9 225;9 149;9 178;9 185;9 192;9 119;9 176;9 159;9 208;9 131;9 185
NEUTRAL;9 185;9 192;9 119;9 176;9 159;9 208;9 131;9 185;9 104;9 185;8 608;9 159
NEUTRAL;9 159;9 208;9 131;9 185;9 104;9 185;8 608;9 159;9 216;9 231;9 051;9 103
NEUTRAL;9 104;9 185;8 608;9 159;9 216;9 231;9 051;9 103;9 272;9 277;9 170;9 216
LOW_FALL;9 216;9 231;9 051;9 103;9 272;9 277;9 170;9 216;9 256;9 278;9 135;9 272
NEUTRAL;9 272;9 277;9 170;9 216;9 256;9 278;9 135;9 272;9 239;9 332;9 210;9 256
NEUTRAL;9 256;9 278;9 135;9 272;9 239;9 332;9 210;9 256;9 224;9 345;9 176;9 240
NEUTRAL;9 239;9 332;9 210;9 256;9 224;9 345;9 176;9 240;9 237;9 313;9 190;9 224
NEUTRAL;9 224;9 345;9 176;9 240;9 237;9 313;9 190;9 224;9 244;9 260;9 133;9 237
NEUTRAL;9 237;9 313;9 190;9 224;9 244;9 260;9 133;9 237;9 435;9 473;9 197;9 244
NEUTRAL;9 244;9 260;9 133;9 237;9 435;9 473;9 197;9 244;9 258;9 462;9 239;9 435
LOW_FALL;9 435;9 473;9 197;9 244;9 258;9 462;9 239;9 435;9 279;9 372;9 220;9 258
LOW_RAISE;9 258;9 462;9 239;9 435;9 279;9 372;9 220;9 258;9 022;9 353;8 938;9 280
NEUTRAL;9 279;9 372;9 220;9 258;9 022;9 353;8 938;9 280;9 131;9 149;9 012;9 022
LOW_RAISE;9 022;9 353;8 938;9 280;9 131;9 149;9 012;9 022;9 097;9 188;9 054;9 132
LOW_FALL;9 131;9 149;9 012;9 022;9 097;9 188;9 054;9 132;9 087;9 147;9 066;9 097
NEUTRAL;9 097;9 188;9 054;9 132;9 087;9 147;9 066;9 097;9 243;9 266;8 963;9 087
NEUTRAL;9 087;9 147;9 066;9 097;9 243;9 266;8 963;9 087;9 150;9 300;9 102;9 243
LOW_FALL;9 243;9 266;8 963;9 087;9 150;9 300;9 102;9 243;9 179;9 231;9 069;9 150
LOW_RAISE;9 150;9 300;9 102;9 243;9 179;9 231;9 069;9 150;9 111;9 192;9 034;9 178
NEUTRAL;9 179;9 231;9 069;9 150;9 111;9 192;9 034;9 178;8 957;9 189;8 945;9 111
NEUTRAL;9 111;9 192;9 034;9 178;8 957;9 189;8 945;9 111;9 201;9 212;8 859;8 957
LOW_RAISE;8 957;9 189;8 945;9 111;9 201;9 212;8 859;8 957;9 277;9 333;9 053;9 201
LOW_FALL;9 201;9 212;8 859;8 957;9 277;9 333;9 053;9 201;9 296;9 320;9 018;9 278
NEUTRAL;9 277;9 333;9 053;9 201;9 296;9 320;9 018;9 278;9 635;9 669;9 216;9 296
NEUTRAL;9 296;9 320;9 018;9 278;9 635;9 669;9 216;9 296;9 640;9 752;9 579;9 644
LOW_FALL;9 635;9 669;9 216;9 296;9 640;9 752;9 579;9 644;9 313;9 655;9 278;9 640
NEUTRAL;9 640;9 752;9 579;9 644;9 313;9 655;9 278;9 640;9 319;9 405;9 301;9 313
LOW_RAISE;9 313;9 655;9 278;9 640;9 319;9 405;9 301;9 313;9 317;9 347;9 211;9 319
NEUTRAL;9 319;9 405;9 301;9 313;9 317;9 347;9 211;9 319;9 349;9 417;9 237;9 316
NEUTRAL;9 317;9 347;9 211;9 319;9 349;9 417;9 237;9 316;9 373;9 476;9 318;9 349
NEUTRAL;9 349;9 417;9 237;9 316;9 373;9 476;9 318;9 349;9 499;9 553;9 255;9 379
NEUTRAL;9 373;9 476;9 318;9 349;9 499;9 553;9 255;9 379;9 483;9 594;9 383;9 499
LOW_FALL;9 499;9 553;9 255;9 379;9 483;9 594;9 383;9 499;9 384;9 484;8 927;9 484
